sector,okved2,year,VDS_s
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2016,3436872.1133908737
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2017,3423549.479240909
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2018,3625258.5798791554
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2019,3977057.3389099576
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2020,4446791.812962686
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2021,5479903.292903661
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2022,5805121.222711277
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2023,5906632.053606514
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2024,6604425.258162787
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2016,7547280.089323756
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2017,9045400.6795886
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2018,12580126.021456324
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2019,12833677.1225803
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2020,9809737.69136173
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2021,17528034.290813014
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2022,20515398.589277323
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2023,21940517.122480765
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2024,25470935.47114048
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2016,11706463.434498169
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2017,13009584.520758156
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2018,15471017.90237368
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2019,16006225.72466669
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2020,16072977.174571188
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2021,20951321.436337195
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2022,22024359.170304872
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2023,25067498.362221207
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2024,28629826.380595878
