region,okato,year,VDS_r
Алтайский край,1,2016,532506.75
Алтайский край,1,2017,562664.44
Алтайский край,1,2018,601585.25
Алтайский край,1,2019,650612.1
Алтайский край,1,2020,687792.1
Алтайский край,1,2021,893383.6
Алтайский край,1,2022,950400.06
Алтайский край,1,2023,1056260.9
Алтайский край,1,2024,1276036.1
Краснодарский край,3,2016,2257605.8
Краснодарский край,3,2017,2467327.8
Краснодарский край,3,2018,2553586.0
Краснодарский край,3,2019,2629935.8
Краснодарский край,3,2020,2724319.0
Краснодарский край,3,2021,3341779.5
Краснодарский край,3,2022,4340008.5
Краснодарский край,3,2023,4825373.0
Краснодарский край,3,2024,5383938.5
Красноярский край,4,2016,1823378.4
Красноярский край,4,2017,2008097.6
Красноярский край,4,2018,2408040.8
Красноярский край,4,2019,2730677.8
Красноярский край,4,2020,2761509.8
Красноярский край,4,2021,3160017.2
Красноярский край,4,2022,3344593.2
Красноярский край,4,2023,3746019.5
Красноярский край,4,2024,4327014.0
Приморский край,5,2016,861626.9
Приморский край,5,2017,933974.75
Приморский край,5,2018,996229.1
Приморский край,5,2019,1099572.4
Приморский край,5,2020,1137195.8
Приморский край,5,2021,1387074.4
Приморский край,5,2022,1605772.8
Приморский край,5,2023,1909976.5
Приморский край,5,2024,2135475.8
Ставропольский край,7,2016,712753.5
Ставропольский край,7,2017,756736.7
Ставропольский край,7,2018,808757.25
Ставропольский край,7,2019,853521.75
Ставропольский край,7,2020,871895.3
Ставропольский край,7,2021,1067023.8
Ставропольский край,7,2022,1200759.6
Ставропольский край,7,2023,1380998.4
Ставропольский край,7,2024,1595592.2
Хабаровский край,8,2016,674771.7
Хабаровский край,8,2017,726109.44
Хабаровский край,8,2018,789660.56
Хабаровский край,8,2019,833523.75
Хабаровский край,8,2020,885399.06
Хабаровский край,8,2021,1047370.5
Хабаровский край,8,2022,1090087.5
Хабаровский край,8,2023,1293496.1
Хабаровский край,8,2024,1582004.9
Амурская область,10,2016,297803.66
Амурская область,10,2017,307933.94
Амурская область,10,2018,343464.03
Амурская область,10,2019,405143.62
Амурская область,10,2020,459791.06
Амурская область,10,2021,558203.3
Амурская область,10,2022,612941.44
Амурская область,10,2023,809227.94
Амурская область,10,2024,1026395.9
Архангельская область,11,2016,713179.3
Архангельская область,11,2017,768971.9
Архангельская область,11,2018,876796.8
Архангельская область,11,2019,901785.6
Архангельская область,11,2020,793405.94
Архангельская область,11,2021,1091239.4
Архангельская область,11,2022,1197926.4
Архангельская область,11,2023,1266755.2
Архангельская область,11,2024,1440193.5
Астраханская область,12,2016,368561.94
Астраханская область,12,2017,449023.62
Астраханская область,12,2018,586625.6
Астраханская область,12,2019,609149.25
Астраханская область,12,2020,534042.25
Астраханская область,12,2021,670917.2
Астраханская область,12,2022,769968.25
Астраханская область,12,2023,786036.8
Астраханская область,12,2024,894396.75
Белгородская область,14,2016,778240.56
Белгородская область,14,2017,848061.06
Белгородская область,14,2018,923836.5
Белгородская область,14,2019,967040.75
Белгородская область,14,2020,1009210.0
Белгородская область,14,2021,1372135.6
Белгородская область,14,2022,1292637.5
Белгородская область,14,2023,1355634.0
Белгородская область,14,2024,1514896.8
Брянская область,15,2016,316763.72
Брянская область,15,2017,347948.53
Брянская область,15,2018,374567.62
Брянская область,15,2019,407129.66
Брянская область,15,2020,422196.7
Брянская область,15,2021,491326.2
Брянская область,15,2022,555000.1
Брянская область,15,2023,645355.56
Брянская область,15,2024,724167.6
Владимирская область,17,2016,431621.94
Владимирская область,17,2017,458575.78
Владимирская область,17,2018,489625.84
Владимирская область,17,2019,544953.25
Владимирская область,17,2020,563076.56
Владимирская область,17,2021,740352.3
Владимирская область,17,2022,787440.94
Владимирская область,17,2023,893576.6
Владимирская область,17,2024,969477.9
Волгоградская область,18,2016,826063.25
Волгоградская область,18,2017,868865.06
Волгоградская область,18,2018,949322.0
Волгоградская область,18,2019,985058.0
Волгоградская область,18,2020,999191.5
Волгоградская область,18,2021,1089882.9
Волгоградская область,18,2022,1227051.9
Волгоградская область,18,2023,1397014.2
Волгоградская область,18,2024,1517988.8
Вологодская область,19,2016,510088.0
Вологодская область,19,2017,552842.44
Вологодская область,19,2018,627589.6
Вологодская область,19,2019,647511.5
Вологодская область,19,2020,637951.5
Вологодская область,19,2021,1040340.94
Вологодская область,19,2022,1032805.5
Вологодская область,19,2023,1096102.0
Вологодская область,19,2024,1210040.5
Воронежская область,20,2016,828646.2
Воронежская область,20,2017,904496.3
Воронежская область,20,2018,986641.5
Воронежская область,20,2019,1039984.8
Воронежская область,20,2020,1105295.1
Воронежская область,20,2021,1320198.1
Воронежская область,20,2022,1401633.4
Воронежская область,20,2023,1544990.0
Воронежская область,20,2024,1717550.9
Нижегородская область,22,2016,1285200.9
Нижегородская область,22,2017,1441531.4
Нижегородская область,22,2018,1557168.0
Нижегородская область,22,2019,1674498.5
Нижегородская область,22,2020,1663461.5
Нижегородская область,22,2021,1995910.2
Нижегородская область,22,2022,2333654.8
Нижегородская область,22,2023,2769904.5
Нижегородская область,22,2024,3080113.5
Ивановская область,24,2016,205853.95
Ивановская область,24,2017,218259.56
Ивановская область,24,2018,238912.27
Ивановская область,24,2019,261566.92
Ивановская область,24,2020,276347.12
Ивановская область,24,2021,315008.78
Ивановская область,24,2022,367995.9
Ивановская область,24,2023,440393.44
Ивановская область,24,2024,502794.75
Иркутская область,25,2016,1140745.1
Иркутская область,25,2017,1297987.4
Иркутская область,25,2018,1491823.2
Иркутская область,25,2019,1571461.5
Иркутская область,25,2020,1526483.5
Иркутская область,25,2021,2005855.4
Иркутская область,25,2022,2373930.8
Иркутская область,25,2023,2572171.8
Иркутская область,25,2024,2987985.2
Республика Ингушетия,26,2016,58141.51
Республика Ингушетия,26,2017,61526.977
Республика Ингушетия,26,2018,68227.88
Республика Ингушетия,26,2019,74570.69
Республика Ингушетия,26,2020,71656.24
Республика Ингушетия,26,2021,72562.46
Республика Ингушетия,26,2022,84432.91
Республика Ингушетия,26,2023,95209.805
Республика Ингушетия,26,2024,108594.805
Калининградская область,27,2016,417445.06
Калининградская область,27,2017,457548.16
Калининградская область,27,2018,504838.62
Калининградская область,27,2019,533237.9
